y,p,r
2.9308,-0.0762,1.0440
2.9343,-0.0771,1.0477
2.9362,-0.0764,1.0510
2.9369,-0.0747,1.0533
2.9376,-0.0730,1.0553
2.9381,-0.0714,1.0570
2.9381,-0.0694,1.0582
2.9374,-0.0670,1.0586
2.9363,-0.0651,1.0582
2.9351,-0.0637,1.0574
2.9334,-0.0620,1.0563
2.9308,-0.0596,1.0550
2.9267,-0.0557,1.0532
2.9217,-0.0509,1.0514
2.9171,-0.0464,1.0498
2.9136,-0.0426,1.0493
2.9109,-0.0390,1.0497
2.9083,-0.0352,1.0507
2.9051,-0.0306,1.0522
2.9006,-0.0247,1.0535
2.8944,-0.0169,1.0545
2.8854,-0.0063,1.0542
2.8725,0.0076,1.0519
2.8547,0.0259,1.0461
2.8327,0.0483,1.0363
2.8100,0.0718,1.0240
2.7905,0.0925,1.0121
2.7741,0.1098,1.0016
2.7584,0.1253,0.9912
2.7421,0.1399,0.9809
2.7244,0.1549,0.9707
2.7051,0.1709,0.9600
2.6844,0.1883,0.9486
2.6626,0.2069,0.9358
2.6402,0.2259,0.9217
2.6183,0.2438,0.9070
2.5973,0.2592,0.8927
2.5772,0.2739,0.8790
2.5579,0.2900,0.8664
2.5392,0.3075,0.8549
2.5211,0.3259,0.8446
2.5031,0.3453,0.8348
2.4843,0.3663,0.8243
2.4647,0.3892,0.8126
2.4443,0.4133,0.7996
2.4236,0.4377,0.7855
2.4029,0.4614,0.7709
2.3827,0.4844,0.7561
2.3631,0.5067,0.7415
2.3441,0.5281,0.7274
2.3261,0.5481,0.7144
2.3085,0.5670,0.7019
2.2910,0.5853,0.6894
2.2734,0.6033,0.6764
2.2553,0.6214,0.6624
2.2366,0.6392,0.6470
2.2167,0.6570,0.6299
2.1965,0.6743,0.6115
2.1771,0.6901,0.5929
2.1593,0.7036,0.5752
2.1431,0.7146,0.5588
2.1270,0.7240,0.5430
2.1108,0.7331,0.5275
2.0932,0.7437,0.5110
2.0741,0.7564,0.4933
2.0535,0.7716,0.4735
2.0313,0.7899,0.4517
2.0087,0.8107,0.4289
1.9875,0.8322,0.4069
1.9684,0.8526,0.3863
1.9515,0.8707,0.3674
1.9353,0.8867,0.3489
1.9189,0.9008,0.3303
1.9015,0.9141,0.3111
1.8835,0.9264,0.2921
1.8650,0.9378,0.2737
1.8469,0.9485,0.2562
1.8287,0.9586,0.2390
1.8106,0.9682,0.2218
1.7918,0.9773,0.2037
1.7721,0.9859,0.1845
1.7514,0.9946,0.1643
1.7298,1.0032,0.1433
1.7076,1.0112,0.1221
1.6857,1.0185,0.1015
1.6642,1.0248,0.0816
1.6433,1.0303,0.0623
1.6228,1.0355,0.0435
1.6028,1.0416,0.0249
1.5836,1.0486,0.0067
1.5652,1.0561,-0.0113
1.5475,1.0638,-0.0291
1.5303,1.0714,-0.0466
1.5134,1.0785,-0.0637
1.4974,1.0845,-0.0798
1.4826,1.0892,-0.0949
1.4689,1.0926,-0.1088
1.4561,1.0951,-0.1217
1.4436,1.0973,-0.1341
1.4311,1.0987,-0.1464
1.4172,1.0991,-0.1599
1.4013,1.0979,-0.1752
1.3833,1.0946,-0.1927
1.3639,1.0900,-0.2118
1.3439,1.0857,-0.2315
1.3250,1.0833,-0.2501
1.3092,1.0832,-0.2660
1.2960,1.0843,-0.2793
1.2836,1.0849,-0.2917
1.2709,1.0845,-0.3043
1.2577,1.0829,-0.3174
